Date	Player	Character	Topic	
7/22/2022	Stephen McArthur	Cecil	many significant Effendal artifacts were lost during the Purges, where can I search to find these cultural artifacts?	As most of the Effendal homesteads were either abandoned or destroyed during the Purges, it is likely that many of their cultural relics were left behind if they fled and were able to lockdown their homes before departing. For those that weren't so lucky (the Etilvor who collapsed a mountain on top of them, the Durhen Megil whose home was invaded by Amalgamation soldiers), those artifacts may have been stolen or scavenged by the humans in the region. Futher investigation into these lost artifacts would need to begin with having Effendal of the appropriate House do additional research to even discover what there once was.
7/22/2022	rem	caedis	unicorns - how does one find a unicorn? horns of black unicorns used in The Moonless Vessels ritual, and celestials have unicorn horns. can we create a holy artifact (a blessed apple) to feed a unicorn?	Since the celestials first came to Adelrune from the Golden Realms, there have been legends and rumors of unicorns - the result of a celestial being merging with and inhabiting the body of a horse when it comes to Adelrune. They're extremely rare, and impossible to gauge when and where they will appear. Black unicorns are almost impossibly rare.
7/22/2022	summer	sephelia	onorie	Onorie's symbol is often seen as a callalily. She is the child of Aer and Elena. She is also the goddess of sculpture. She is known to have been killed by the forbidden gods, who are often associated with demon cities. She was worshipped by the Trahazi
7/22/2022	summer	sephelia	riel	Riel was once known as the living city. The daughter of Cinorast and Ur. It was believed she was the soul of the city and West Riel the capitol of the Celestine Empire was named in her honor while East Riel was renamed Cyrus by the Amalgamation conquest. East Riel was the historic home of the Trahazi people. Was known to be the goddess of sculpture.
7/22/2022	summer	sephelia	how the college of Cardinals pick the new voice of chorus	It was only after the Echoing of Voices that the College of Cardinals began to choose the new Voice of Chorus - it was always someone with great magic, that which can only exist beyond the power of mortal men and must be granted by divinity itself. Chorus as The Maker, personally blessing the one who would become his next Voice, and it was only through much prayer, searching the country, and seeking the guidance from Chorus that the new Voice would be discovered and raised as such. It was rare that they would promote from within, almost never was it a Cardinal or high ranking Church member, but someone blessed by Chorus directly.
7/22/2022	laz	Sagar proudeyes	if Adelrune soul energy is inevitable all flowering toward the death realms and leaving Adelrune, what will happen to Adelrune, on a long enough timeline, when all the soul energy is gone? no life? souls from elsewhere? other?	There never seems to be a lack of souls on Adelrune as species continue to procreate (especially with the rapid birth cycles of humanity). On a long enough timeline, assuming the cycle of ages does not progress to the Age of the Great Death which brings the destruction of all things, the world will always be reset under the guidance of the Clocktower and the world will begin anew with more life.
7/22/2022	britt	petron	metaphysical origins of the tears of life that are on the persons of newly returned. includes moral and metaphysical breakdown, and previous attempts to create alternatives	Items that newly Returned arrive in town with are the items that were on their person upon their first death, thus the Tears of Life are stable and crafted potions identical to the stable potions that can be crafted in Port Frey, with all of the same moral quandaries. However, it's unlikely that most people in the world would know what components are used to make Tears of Life, except for Grandmaster Alchemists who have made that potion before. It's not common knowledge that everyone would talk about in the streets, and as Child's Tears are a black market item in the world economy, it's unlikely any alchemist would go around proclaiming what they are doing.
7/22/2022	jazz	leila	underwood insight: connections between the parliament of owls and Nadine traitor houses	The Parliament of Owls is a traitorous group that is dedicated to preserving all knowledge even if it goes against the whims of the Empress. Though in Ad Decimum they are more revered though secretive in their nature.
7/22/2022	Trent Wasko	Clove	underworld insight: Lord montgomery	Montgomery has ties with a number of underworld organizations that are known for information dealing and brokering in rare artifacts. The Dancing Spiders and VARIOUS COLLECTORS. He is known in the smuggler runs and corridors in Port Frey but is rarely known to stick with one group, too interfaced with multiple groups at once. It's clear he is looking for something specific, but it is not known what.
7/22/2022	Trent wasko	clove	investigate scandals: Lord montgomery (the scandal in Cestral)	When the Vicaul king, Geir married the Cestral princess Méabh, Lord Montgomery was drunk and tripped and knocked over a brazier that caught the princess's dress on fire. In his efforts to put out the fire he grabbed a bowl of wine from the altar and accidentally drenched her. Flustered, he tried to dry her off with his great kilt and not only entangled himself, but summarily flashed the entire wedding party.
7/22/2022	jazz	leila	scouting: location of Trina anhavia	They found her body under the docks of the northern warf. In a cesspit.
Maril 22	grace	Francesca	Celestine/Dacian wedding customs	Typically, marriage in Dace is rarely a love match and is almost always a business contract. From the day that children are born or while the parents are pregnant, their parents are in the market for marriage lawyers/marriage negotiators. The lawyer is assigned for the child's life till marriage. Lawyer needs to get along with kid and MOST IMPORTANTLY not die. Lawyers oversee playdates, makes introductions, keeps interests of the family as priority. The engagement process is all litigation happening in a third party and are locked into a room until they come to terms. For smaller weddings, it's a few hours or a day or two for formality's sake. For bigger more notable marriages it could take up to a month. People gather in the streets to holler at the window and cheer on during litigation. Other traditions include: the groom to be takes fiance and kidnaps the "bride" and their friends for the bachelorette party. Wedding dress is high priority. NOT WHITE. Goal is to set the fashion trend for the year. Finding your dressmaker is almost as important as marriage lawyer. It is important for the wedding to be the biggest shindig around (ie-snatch up all the vendors so no one else can book them for the same day). Common gifts are fancy pens for signing marriage contracts and frames to display the marriage contract in the home.
Maril 22	Emmett	shroud	what is the origin of the sword of the meek?	The origins of the Sword of the Meek are shrouded in mystery, but as you look back in history, you find it's mentioned in even the oldest of fairytales, across dozens of cultures, none of which seem to have a common source or origin of the sword.
Maril 22	Schaff	Penrose	how do we make/replicate glass damage?	you don't really have the applicable lores to research this question about creating weapons, but glass damage is not something known to Adelrune to be craftable, so it would likely be something learned from elsewhere
Maril 22	Reuben	Sirocco	how is the iron Chalice involved? note: short one assistant	from the submission of the research, it looks like you were short one assistant (only 5 were listed for 3 research actions), so please be careful of that in the future when doing joint research. additionally, you don't really have an applicable lore related to the Iron Chalice, but what you can find is that the Sword of the Meek long pre-dates the Iron Chalice, and it's likely they don't have direct involvement with it as an order. Mordecai specifically seems to have some amount of influence with it, however, which is unrelated to the Iron Chalice.
Maril 22	summer	sephelia	the parents of nicodemus	In his quest to conquer the Clocktower, it was revealed that King of the Darlings, Nicodemus, was participating as he sought the power of godhood in order to punish his parents, Styx and Morcin. Seeking his revenge against them for the part they played in his dark creation and subsequent imprisonment when they had discovered the horror they had birthed.
3/22/2022	Kat sidhe	Comtesse	origin of cursed mask of mor'drake and similar objects	These are cursed items that have origins in the demon cities of Breach. Further research would require lores relevant to demons.
